"Confirm account and data deletion","Confirm account and data deletion"
"Missing or wrong parameters, please try again.","Missing or wrong parameters, please try again."
"All your personal information was deleted.","All your personal information was deleted."
"Error occurred. Please try again later or contact site administrator.","Error occurred. Please try again later or contact site administrator."
"Request account deletion","Request account deletion"
"Verification link was sent to email address you just provided.","Verification link was sent to email address you just provided."
"Sorry, we can't process your request right now. Please try again later","Sorry, we can't process your request right now. Please try again later"
"Confirm personal data deletion","Confirm personal data deletion"
"Request personal information deletion","Request personal information deletion"
"There is active account connected to this email. Please login first.","There is active account connected to this email. Please login first."
"You requested deletion of your account and all personal information.","You requested deletion of your account and all personal information."
"Please make sure you really want to do this, this action is final and IREVERSIBLE.","Please make sure you really want to do this, this action is final and IREVERSIBLE."
"Delete My Account","Delete My Account"
"Are you sure?","Are you sure?"
"Your account will be deleted and we wont be able to recover it anymore.","Your account will be deleted and we wont be able to recover it anymore."
"Request deletion","Request deletion"
"You are about to delete all personal information associated with email %1.","You are about to delete all personal information associated with email %1."
"This action is final and cannot be undone.","This action is final and cannot be undone."
"You will still be able to make an RMA claim using an invoice.","You will still be able to make an RMA claim using an invoice."
"Delete Personal Information","Delete Personal Information"
"All Your personal information will be deleted and we wont be able to recover it anymore.","All Your personal information will be deleted and we wont be able to recover it anymore."
"* Required Fields","* Required Fields"
Email,Email
"Information deletion request","Information deletion request"
"Delete all information associated to email %email:","Delete all information associated to email %email:"
Delete,Delete
"Account deletion request","Account deletion request"
"Delete your account and all personal information associated with it:","Delete your account and all personal information associated with it:"
Customers,Customers
"GDPR Configuration","GDPR Configuration"
GDPR,GDPR
"General Configuration","General Configuration"
Enable,Enable
"Replace text","Replace text"
"All personal information (name, address, etc.) will be replaced by this text on anonymization.","All personal information (name, address, etc.) will be replaced by this text on anonymization."
"Deletion Request Template","Deletion Request Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Deletion Request Guest Template","Deletion Request Guest Template"
"Confirm account data deletion","Confirm account data deletion"
"Confirm personal information deletion","Confirm personal information deletion"
