"0 is highest","0 is highest"
"1","1"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"170x170, white background","170x170, white background"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"All images in this group will be set to this width","All images in this group will be set to this width"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Carousel Group %1","Carousel Group %1"
"Carousel Group Information","Carousel Group Information"
"Carousel Group to delete was not found.","Carousel Group to delete was not found."
"Carousel Group","Carousel Group"
"Carousel Groups","Carousel Groups"
"Carousel Image %1","Carousel Image %1"
"Carousel Image Information","Carousel Image Information"
"Carousel Image to delete was not found.","Carousel Image to delete was not found."
"Carousel Image","Carousel Image"
"Carousel Images","Carousel Images"
"Create New Carousel Group","Create New Carousel Group"
"Create New Carousel Image","Create New Carousel Image"
"Delete Carousel Group","Delete Carousel Group"
"Delete Carousel Image","Delete Carousel Image"
"Edit Carousel Group '%1'","Edit Carousel Group '%1'"
"Edit Carousel Image '%1'","Edit Carousel Image '%1'"
"Enabled","Enabled"
"For desktop","For desktop"
"ID","ID"
"Image Height","Image Height"
"Image Width","Image Width"
"Image","Image"
"Infinite Scroll","Infinite Scroll"
"Label","Label"
"Link","Link"
"Name","Name"
"New Carousel Group","New Carousel Group"
"New Carousel Image","New Carousel Image"
"Page width break point","Page width break point"
"Please Select Carousel Groups.","Please Select Carousel Groups."
"Please Select Carousel Images.","Please Select Carousel Images."
"Responsive 1: Break Point","Responsive 1: Break Point"
"Responsive 1: Slides To Scroll","Responsive 1: Slides To Scroll"
"Responsive 1: Slides To Show","Responsive 1: Slides To Show"
"Responsive 2: Break Point","Responsive 2: Break Point"
"Responsive 2: Slides To Scroll","Responsive 2: Slides To Scroll"
"Responsive 2: Slides To Show","Responsive 2: Slides To Show"
"Responsive 3: Break Point","Responsive 3: Break Point"
"Responsive 3: Slides To Scroll","Responsive 3: Slides To Scroll"
"Responsive 3: Slides To Show","Responsive 3: Slides To Show"
"Save Carousel Group","Save Carousel Group"
"Save Carousel Image","Save Carousel Image"
"Save and Continue Edit","Save and Continue Edit"
"Slides To Scroll","Slides To Scroll"
"Slides To Show","Slides To Show"
"Something went wrong while saving the Carousel Group.","Something went wrong while saving the Carousel Group."
"Something went wrong while saving the Carousel Image.","Something went wrong while saving the Carousel Image."
"Sort Order","Sort Order"
"The Carousel Group has been deleted.","The Carousel Group has been deleted."
"The Carousel Group has been saved.","The Carousel Group has been saved."
"The Carousel Image has been deleted.","The Carousel Image has been deleted."
"The Carousel Image has been saved.","The Carousel Image has been saved."
"This Carousel Group no longer exists.","This Carousel Group no longer exists."
"This Carousel Image no longer exists.","This Carousel Image no longer exists."
